Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
124539-55062,C,Nikola,Nikola Jokic,Jokic,64.252001953125,25,12900,ORL@DEN,DEN,ORL,,,,,,C
124539-84669,PG,Luka,Luka Doncic,Doncic,60.1578947368421,19,12500,LAL@UTA,LAL,UTA,,,,,,PG
124539-188414,C/PF,Victor,Victor Wembanyama,Wembanyama,56.67692213792067,13,12300,WAS@SA,SA,WAS,,,,,,PF/C
124539-40199,PF,Giannis,Giannis Antetokounmpo,Antetokounmpo,52.611766142003674,17,11000,TOR@MIL,MIL,TOR,O,Calf,,,,PF
124539-15755,C/PF,Anthony,Anthony Davis,Davis,44.60909201882102,11,10900,DET@DAL,DAL,DET,Q,Calf,,,,PF/C
124539-84680,PG,Shai,Shai Gilgeous-Alexander,Gilgeous-Alexander,52.06,25,10800,LAC@OKC,OKC,LAC,,,,,,PG
124539-157808,PG,Cade,Cade Cunningham,Cunningham,51.31739342730978,23,10400,DET@DAL,DET,DAL,,,,,,PG
124539-157833,PF/SF,Jalen,Jalen Johnson,Johnson,50.15416463216146,24,10300,ATL@CHA,ATL,CHA,,,,,,SF/PF
124539-157908,C/PF,Alperen,Alperen Sengun,Sengun,49.409522646949405,21,10100,HOU@NO,HOU,NO,,,,,,PF/C
124539-145539,SF/PF,Deni,Deni Avdija,Avdija,43.96922889122596,26,9500,SAC@POR,POR,SAC,,,,,,SF/PF
124539-9644,PG/SG,James,James Harden,Harden,45.747998046875,25,9300,LAC@OKC,LAC,OKC,O,Calf,,,,PG/SG
124539-84690,PG,Jalen,Jalen Brunson,Brunson,42.34347932235055,23,9200,NY@IND,NY,IND,,,,,,PG
124539-58462,C/PF,Karl-Anthony,Karl-Anthony Towns,Towns,43.895833333333336,24,9100,NY@IND,NY,IND,Q,Knee,,,,PF/C
